#TE_family	subclass	superfamily	count	idn	sd	indels	tsd	length	frag	nest
Os3523_LTR#LTR/Gypsy	LTR/Gypsy	LTR_retrotransposon	28	83	19	11	5,5	5277	82	1
Os0677_LTR#LTR/Solo	LTR/Solo	LTR_retrotransposon	30	91	20	18	5,5	998	94	0
Os1124_LTR#LTR/Solo	LTR/Solo	LTR_retrotransposon	19	81	19	7	5,5	3209	90	0
Os1416_LTR#LTR/Solo	LTR/Solo	LTR_retrotransposon	66	91	16	18	5,5	1230	93	0
ATRAN#LTR/unknown	LTR/unknown	LTR_retrotransposon	88	85	19	16	5,5	360	80	0
Os0150_INT#LTR/unknown	LTR/unknown	LTR_retrotransposon	43	91	17	15	5,5	1831	97	0
Os0307_INT#LTR/unknown	LTR/unknown	LTR_retrotransposon	77	84	13	20	5,5	1914	86	0
Os0313_INT#LTR/unknown	LTR/unknown	LTR_retrotransposon	73	89	8	9	5,5	2037	85	0
Os0568_LTR#LTR/unknown	LTR/unknown	LTR_retrotransposon	96	94	4	16	5,5	4574	97	0
Os0571_LTR#LTR/unknown	LTR/unknown	LTR_retrotransposon	100	86	16	13	5,5	3291	84	0
Os0852_LTR#LTR/unknown	LTR/unknown	LTR_retrotransposon	6	94	5	6	5,5	4702	94	0
Os0972_LTR#LTR/unknown	LTR/unknown	LTR_retrotransposon	94	83	5	19	5,5	443	88	0
Os1677_LTR#LTR/unknown	LTR/unknown	LTR_retrotransposon	79	94	17	20	5,5	285	95	0
Os3530_INT#LTR/unknown	LTR/unknown	LTR_retrotransposon	39	85	6	7	5,5	2161	88	0
Os3538_LTR#LTR/unknown	LTR/unknown	LTR_retrotransposon	55	94	5	10	5,5	290	92	0
ATLINE1A#LINE/unknown	LINE/unknown	LINE_retrotransposon	74	90	1	9	5,20	2254	90	0
ATLINE1_1#LINE/L1	LINE/L1	LINE_retrotransposon	7	81	7	17	5,20	5851	83	0
ATLINE1_10#LINE/L1	LINE/L1	LINE_retrotransposon	63	85	5	16	5,20	5643	91	0
ATLINE1_10A#LINE/L1	LINE/L1	LINE_retrotransposon	53	89	9	12	5,20	5670	87	0
ATLINE1_11#LINE/unknown	LINE/unknown	LINE_retrotransposon	78	81	10	8	5,20	5524	87	0
ATLINE1_12#LINE/L1	LINE/L1	LINE_retrotransposon	24	84	13	18	5,20	4570	93	0
ATLINE1_2#LINE/L1	LINE/L1	LINE_retrotransposon	6	81	15	13	5,20	5814	89	0
ATLINE1_3A#LINE/L1	LINE/L1	LINE_retrotransposon	8	92	10	19	5,20	330	90	0
ATLINE1_4#LINE/L1	LINE/L1	LINE_retrotransposon	58	81	14	10	5,20	6700	86	0
ATLINE1_5#LINE/L1	LINE/L1	LINE_retrotransposon	85	81	1	17	5,20	6835	94	0
ATLINE1_6#LINE/L1	LINE/L1	LINE_retrotransposon	84	89	19	17	5,20	5525	91	0
ATLINE1_7#LINE/unknown	LINE/unknown	LINE_retrotransposon	25	91	12	8	5,20	5559	88	0
ATLINE1_8#LINE/unknown	LINE/unknown	LINE_retrotransposon	75	92	9	10	5,20	5591	83	0
ATLINE1_9#LINE/unknown	LINE/unknown	LINE_retrotransposon	32	88	13	8	5,20	4053	96	0
ATLINE2#LINE/L1	LINE/L1	LINE_retrotransposon	15	85	2	16	5,20	5318	95	0
ATLINEIII#LINE/unknown	LINE/unknown	LINE_retrotransposon	84	91	13	6	5,20	5408	88	0
TA11#LINE/L1	LINE/L1	LINE_retrotransposon	7	93	3	18	5,20	5976	83	0
TA12#LINE/L1	LINE/L1	LINE_retrotransposon	61	88	1	20	5,20	949	93	0
TSCL#LINE/unknown	LINE/unknown	LINE_retrotransposon	63	80	3	15	5,20	1225	84	0
Os0044#LINE/unknown	LINE/unknown	LINE_retrotransposon	50	83	4	6	5,20	3376	92	0
Os0100#LINE/unknown	LINE/unknown	LINE_retrotransposon	41	84	15	19	5,20	1434	85	0
Os0145#LINE/unknown	LINE/unknown	LINE_retrotransposon	90	91	9	14	5,20	1830	95	0
Os0224#LINE/unknown	LINE/unknown	LINE_retrotransposon	62	91	14	14	5,20	2023	95	0
Os0236#LINE/unknown	LINE/unknown	LINE_retrotransposon	28	87	5	19	5,20	1385	94	0
Os0248#LINE/unknown	LINE/unknown	LINE_retrotransposon	34	91	5	14	5,20	2949	87	0
Os0402#LINE/unknown	LINE/unknown	LINE_retrotransposon	80	84	19	13	5,20	1588	80	0
Os0438#LINE/unknown	LINE/unknown	LINE_retrotransposon	14	80	18	15	5,20	1271	92	0
Os0491#LINE/unknown	LINE/unknown	LINE_retrotransposon	8	94	18	20	5,20	2011	85	0
Os0535#LINE/unknown	LINE/unknown	LINE_retrotransposon	47	81	8	14	5,20	3104	93	0
Os0566#LINE/unknown	LINE/unknown	LINE_retrotransposon	85	81	19	16	5,20	1599	86	0
Os0588#LINE/unknown	LINE/unknown	LINE_retrotransposon	39	94	14	19	5,20	1330	92	0
Os0591#LINE/unknown	LINE/unknown	LINE_retrotransposon	44	88	8	13	5,20	6273	80	0
Os0596#LINE/unknown	LINE/unknown	LINE_retrotransposon	77	90	13	13	5,20	1507	94	0
Os0618#LINE/unknown	LINE/unknown	LINE_retrotransposon	43	95	19	8	5,20	5431	90	0
Os0633#LINE/unknown	LINE/unknown	LINE_retrotransposon	87	88	2	5	5,20	2639	91	0
Os0637#LINE/unknown	LINE/unknown	LINE_retrotransposon	25	92	3	11	5,20	1408	85	0
Os0651#LINE/unknown	LINE/unknown	LINE_retrotransposon	15	85	4	18	5,20	6996	80	0
Os0652#LINE/unknown	LINE/unknown	LINE_retrotransposon	85	95	19	6	5,20	1498	88	0
Os0766#LINE/unknown	LINE/unknown	LINE_retrotransposon	41	91	14	17	5,20	5933	97	0
Os0785#LINE/unknown	LINE/unknown	LINE_retrotransposon	29	94	20	17	5,20	994	80	0
Os0793#LINE/unknown	LINE/unknown	LINE_retrotransposon	21	89	14	20	5,20	6802	97	0
Os0801#LINE/unknown	LINE/unknown	LINE_retrotransposon	46	87	8	10	5,20	6257	89	0
Os0802#LINE/unknown	LINE/unknown	LINE_retrotransposon	44	81	17	16	5,20	2480	80	0
Os0815#LINE/unknown	LINE/unknown	LINE_retrotransposon	96	85	9	9	5,20	1350	93	0
Os0817#LINE/unknown	LINE/unknown	LINE_retrotransposon	32	94	6	15	5,20	2827	85	0
Os0837#LINE/unknown	LINE/unknown	LINE_retrotransposon	17	89	3	20	5,20	5878	85	0
Os0875#LINE/unknown	LINE/unknown	LINE_retrotransposon	12	94	12	5	5,20	2526	82	0
Os0899#LINE/unknown	LINE/unknown	LINE_retrotransposon	96	92	2	15	5,20	1556	83	0
Os0915#LINE/unknown	LINE/unknown	LINE_retrotransposon	44	94	7	14	5,20	2213	93	0
Os0926#LINE/unknown	LINE/unknown	LINE_retrotransposon	89	84	10	18	5,20	1256	83	0
Os0934#LINE/unknown	LINE/unknown	LINE_retrotransposon	6	87	15	10	5,20	2265	85	0
Os0947#LINE/unknown	LINE/unknown	LINE_retrotransposon	97	91	4	12	5,20	1968	95	0
Os0948#LINE/unknown	LINE/unknown	LINE_retrotransposon	97	95	1	16	5,20	3116	85	0
Os0995#LINE/unknown	LINE/unknown	LINE_retrotransposon	5	91	6	5	5,20	2054	93	0
Os1100#LINE/unknown	LINE/unknown	LINE_retrotransposon	93	86	12	7	5,20	4740	81	0
Os1159#LINE/unknown	LINE/unknown	LINE_retrotransposon	39	86	20	16	5,20	5262	81	0
Os1192#LINE/unknown	LINE/unknown	LINE_retrotransposon	96	90	19	10	5,20	1922	95	0
Os1202#LINE/unknown	LINE/unknown	LINE_retrotransposon	37	81	10	16	5,20	851	97	0
Os1215#LINE/unknown	LINE/unknown	LINE_retrotransposon	5	82	11	8	5,20	1346	95	0
Os1219#LINE/unknown	LINE/unknown	LINE_retrotransposon	84	84	6	8	5,20	1103	97	0
Os1242#LINE/unknown	LINE/unknown	LINE_retrotransposon	34	86	14	17	5,20	5113	83	0
Os1412#LINE/unknown	LINE/unknown	LINE_retrotransposon	22	92	12	13	5,20	1828	87	0
Os1426#LINE/unknown	LINE/unknown	LINE_retrotransposon	85	86	19	14	5,20	1370	87	0
Os1433#LINE/unknown	LINE/unknown	LINE_retrotransposon	12	89	3	18	5,20	4108	87	0
Os1449#LINE/unknown	LINE/unknown	LINE_retrotransposon	45	87	8	19	5,20	2666	91	0
Os1461#LINE/unknown	LINE/unknown	LINE_retrotransposon	26	90	3	19	5,20	3671	90	0
Os1539#LINE/unknown	LINE/unknown	LINE_retrotransposon	94	95	11	10	5,20	1685	91	0
Os1561#LINE/unknown	LINE/unknown	LINE_retrotransposon	81	84	5	16	5,20	3741	92	0
Os1613#LINE/unknown	LINE/unknown	LINE_retrotransposon	72	91	20	18	5,20	821	95	0
Os1638#LINE/unknown	LINE/unknown	LINE_retrotransposon	64	86	20	9	5,20	3986	86	0
Os1673#LINE/unknown	LINE/unknown	LINE_retrotransposon	62	94	3	12	5,20	1851	83	0
Os1711#LINE/unknown	LINE/unknown	LINE_retrotransposon	78	81	13	7	5,20	1253	97	0
Os1719#LINE/unknown	LINE/unknown	LINE_retrotransposon	91	92	8	20	5,20	1390	81	0
Os1726#LINE/unknown	LINE/unknown	LINE_retrotransposon	77	93	16	5	5,20	1670	95	0
Os1736#LINE/unknown	LINE/unknown	LINE_retrotransposon	50	93	7	18	5,20	947	93	0
Os1743#LINE/unknown	LINE/unknown	LINE_retrotransposon	84	92	15	8	5,20	786	87	0
Os1748#LINE/unknown	LINE/unknown	LINE_retrotransposon	81	86	6	10	5,20	1278	81	0
Os1808#LINE/unknown	LINE/unknown	LINE_retrotransposon	85	82	10	10	5,20	326	94	0
Os1824#LINE/unknown	LINE/unknown	LINE_retrotransposon	56	80	20	20	5,20	1162	85	0
Os1848#LINE/unknown	LINE/unknown	LINE_retrotransposon	13	80	18	13	5,20	2802	81	0
Os1852#LINE/unknown	LINE/unknown	LINE_retrotransposon	89	95	13	14	5,20	3463	83	0
Os1854#LINE/unknown	LINE/unknown	LINE_retrotransposon	36	91	10	5	5,20	517	86	0
Os1875#LINE/unknown	LINE/unknown	LINE_retrotransposon	97	81	15	17	5,20	1234	97	0
Os1882#LINE/unknown	LINE/unknown	LINE_retrotransposon	27	80	11	9	5,20	2466	93	0
Os1926#LINE/unknown	LINE/unknown	LINE_retrotransposon	44	80	13	14	5,20	3676	97	0
Os1979#LINE/unknown	LINE/unknown	LINE_retrotransposon	66	85	7	19	5,20	856	97	0
Os2000#LINE/unknown	LINE/unknown	LINE_retrotransposon	84	80	16	16	5,20	902	86	0
Os2006#LINE/unknown	LINE/unknown	LINE_retrotransposon	43	83	5	6	5,20	1039	81	0
Os2099#LINE/unknown	LINE/unknown	LINE_retrotransposon	50	85	12	6	5,20	4638	87	0
Os2111#LINE/unknown	LINE/unknown	LINE_retrotransposon	39	90	9	6	5,20	3469	96	0
Os2215#LINE/unknown	LINE/unknown	LINE_retrotransposon	73	82	9	20	5,20	2831	81	0
Os2252#LINE/unknown	LINE/unknown	LINE_retrotransposon	62	91	5	13	5,20	1693	87	0
Os2507#LINE/unknown	LINE/unknown	LINE_retrotransposon	16	86	20	16	5,20	1729	87	0
Os2997#LINE/unknown	LINE/unknown	LINE_retrotransposon	28	87	4	16	5,20	6584	98	0
Os3033#LINE/unknown	LINE/unknown	LINE_retrotransposon	23	95	1	19	5,20	946	90	0
Os3321#LINE/unknown	LINE/unknown	LINE_retrotransposon	52	83	1	12	5,20	6727	97	0
Os3325#LINE/unknown	LINE/unknown	LINE_retrotransposon	29	91	5	10	5,20	2790	88	0
Os3328#LINE/unknown	LINE/unknown	LINE_retrotransposon	72	95	16	8	5,20	1666	86	0
Os3534#LINE/unknown	LINE/unknown	LINE_retrotransposon	54	87	2	20	5,20	4048	85	0
Os3537#LINE/unknown	LINE/unknown	LINE_retrotransposon	28	89	14	9	5,20	1971	97	0
Os3567#LINE/unknown	LINE/unknown	LINE_retrotransposon	44	92	16	20	5,20	3698	93	0
Os3568#LINE/unknown	LINE/unknown	LINE_retrotransposon	34	95	17	15	5,20	1886	87	0
Os3574#LINE/unknown	LINE/unknown	LINE_retrotransposon	35	85	10	7	5,20	3209	83	0
Os3645#LINE/unknown	LINE/unknown	LINE_retrotransposon	70	89	16	6	5,20	3739	88	0
Os3647#LINE/unknown	LINE/unknown	LINE_retrotransposon	21	87	20	16	5,20	6544	87	0
Os3659#LINE/unknown	LINE/unknown	LINE_retrotransposon	74	82	1	7	5,20	3656	88	0
ATSINE2A#SINE/unknown	SINE/unknown	SINE_retrotransposon	90	94	6	15	5,20	1396	90	0
AtSB2#SINE/tRNA	SINE/tRNA	SINE_retrotransposon	53	80	20	20	5,20	171	91	0
AtSB3#SINE/tRNA	SINE/tRNA	SINE_retrotransposon	41	91	8	9	5,20	303	85	0
AtSB4#SINE/tRNA	SINE/tRNA	SINE_retrotransposon	82	92	16	8	5,20	159	84	0
AtSB5#SINE/tRNA	SINE/tRNA	SINE_retrotransposon	40	80	3	10	5,20	217	94	0
AtSB6#SINE/tRNA	SINE/tRNA	SINE_retrotransposon	5	85	1	9	5,20	333	80	0
Sadhu1-1#SINE/unknown	SINE/unknown	SINE_retrotransposon	37	94	2	17	5,20	884	81	0
Sadhu1-2#SINE/unknown	SINE/unknown	SINE_retrotransposon	94	95	12	15	5,20	902	96	0
Sadhu1-3#SINE/unknown	SINE/unknown	SINE_retrotransposon	95	94	7	13	5,20	902	87	0
Sadhu10-1#SINE/unknown	SINE/unknown	SINE_retrotransposon	56	93	8	11	5,20	819	82	0
Sadhu2-1#SINE/unknown	SINE/unknown	SINE_retrotransposon	31	80	13	8	5,20	876	93	0
Sadhu3-1#SINE/unknown	SINE/unknown	SINE_retrotransposon	69	87	17	14	5,20	885	96	0
Sadhu4-1#SINE/unknown	SINE/unknown	SINE_retrotransposon	11	94	4	14	5,20	906	88	0
Sadhu5-1#SINE/unknown	SINE/unknown	SINE_retrotransposon	60	83	7	16	5,20	871	92	0
Sadhu6-1#SINE/unknown	SINE/unknown	SINE_retrotransposon	94	90	6	19	5,20	865	91	0
Sadhu7-1#SINE/unknown	SINE/unknown	SINE_retrotransposon	21	84	10	18	5,20	886	80	0
Sadhu8-1#SINE/unknown	SINE/unknown	SINE_retrotransposon	57	91	13	6	5,20	881	80	0
Sadhu9-1#SINE/unknown	SINE/unknown	SINE_retrotransposon	49	90	8	14	5,20	1000	90	0
RST-Osativa-Cluster_0#SINE/unknown	SINE/unknown	SINE_retrotransposon	98	87	18	11	5,20	385	85	0
RST-Osativa-Cluster_2#SINE/unknown	SINE/unknown	SINE_retrotransposon	52	81	6	5	5,20	287	95	0
RST-Osativa-Cluster_5#SINE/unknown	SINE/unknown	SINE_retrotransposon	45	86	7	15	5,20	199	93	0
RST-Osativa-Cluster_6#SINE/unknown	SINE/unknown	SINE_retrotransposon	22	82	3	11	5,20	187	98	0
Os0106#SINE/unknown	SINE/unknown	SINE_retrotransposon	36	86	3	18	5,20	123	93	0
Os0212#SINE/unknown	SINE/unknown	SINE_retrotransposon	48	87	8	16	5,20	1239	93	0
Os0270#SINE/unknown	SINE/unknown	SINE_retrotransposon	51	93	1	5	5,20	977	82	0
Os0358#SINE/unknown	SINE/unknown	SINE_retrotransposon	24	90	1	13	5,20	305	90	0
Os0375#SINE/unknown	SINE/unknown	SINE_retrotransposon	47	92	9	13	5,20	734	87	0
Os0509#SINE/unknown	SINE/unknown	SINE_retrotransposon	57	89	16	20	5,20	212	92	0
Os0580#SINE/unknown	SINE/unknown	SINE_retrotransposon	99	86	17	15	5,20	324	92	0
Os0604#SINE/unknown	SINE/unknown	SINE_retrotransposon	43	89	16	13	5,20	156	93	0
Os0642#SINE/unknown	SINE/unknown	SINE_retrotransposon	35	88	7	15	5,20	342	91	0
Os0660#SINE/unknown	SINE/unknown	SINE_retrotransposon	77	95	14	13	5,20	195	97	0
Os0751#SINE/unknown	SINE/unknown	SINE_retrotransposon	57	94	9	18	5,20	256	86	0
Os1022#SINE/unknown	SINE/unknown	SINE_retrotransposon	48	95	16	20	5,20	163	90	0
Os1374#SINE/unknown	SINE/unknown	SINE_retrotransposon	37	88	4	10	5,20	494	85	0
Os1424#SINE/unknown	SINE/unknown	SINE_retrotransposon	66	87	7	17	5,20	320	98	0
Os1427#SINE/unknown	SINE/unknown	SINE_retrotransposon	16	81	6	15	5,20	244	87	0
Os1611#SINE/unknown	SINE/unknown	SINE_retrotransposon	15	92	17	15	5,20	85	93	0
Os1635#SINE/unknown	SINE/unknown	SINE_retrotransposon	37	88	7	11	5,20	508	83	0
Os1716#SINE/unknown	SINE/unknown	SINE_retrotransposon	36	86	3	15	5,20	461	92	0
Os1815#SINE/unknown	SINE/unknown	SINE_retrotransposon	86	87	15	6	5,20	516	86	0
Os1867#SINE/unknown	SINE/unknown	SINE_retrotransposon	53	85	2	8	5,20	326	91	0
Os1922#SINE/unknown	SINE/unknown	SINE_retrotransposon	29	95	5	19	5,20	581	94	0
Os2220#SINE/unknown	SINE/unknown	SINE_retrotransposon	41	94	5	5	5,20	347	80	0
Os2238#SINE/unknown	SINE/unknown	SINE_retrotransposon	90	89	17	19	5,20	2638	92	0
Os2338#SINE/unknown	SINE/unknown	SINE_retrotransposon	93	91	5	6	5,20	470	91	0
Os2393#SINE/unknown	SINE/unknown	SINE_retrotransposon	50	84	16	14	5,20	289	96	0
Os3050#SINE/unknown	SINE/unknown	SINE_retrotransposon	30	92	7	7	5,20	441	98	0
ATHAT1#DNA/hAT	DNA/hAT	TIR_transposon	52	84	11	14	5,8	4060	80	0
ATHAT10#DNA/hAT	DNA/hAT	TIR_transposon	83	81	1	12	5,8	3243	88	0
ATHAT2#DNA/hAT	DNA/hAT	TIR_transposon	26	80	7	7	5,8	3573	95	0
ATHAT3#DNA/hAT	DNA/hAT	TIR_transposon	60	82	7	17	5,8	4184	89	0
ATHAT7#DNA/hAT	DNA/hAT	TIR_transposon	42	86	2	10	5,8	3500	80	0
ATHAT8#DNA/hAT	DNA/hAT	TIR_transposon	10	88	14	13	5,8	3849	94	0
ATHAT9#DNA/hAT	DNA/hAT	TIR_transposon	27	80	5	16	5,8	3126	84	0
ATHATN10#DNA/hAT	DNA/hAT	TIR_transposon	83	93	20	11	5,8	832	87	0
ATHATN2#DNA/hAT	DNA/hAT	TIR_transposon	26	82	15	8	5,8	649	84	0
ATHATN3#DNA/hAT	DNA/hAT	TIR_transposon	99	93	17	13	5,8	554	95	0
ATHATN3A#DNA/hAT	DNA/hAT	TIR_transposon	99	83	6	17	5,8	589	95	0
ATHATN4#DNA/hAT	DNA/hAT	TIR_transposon	57	91	7	16	5,8	437	97	0
ATHATN5#DNA/hAT	DNA/hAT	TIR_transposon	24	92	15	7	5,8	541	97	0
ATHATN6#DNA/hAT	DNA/hAT	TIR_transposon	11	91	11	13	5,8	594	80	0
ATHATN8#DNA/hAT	DNA/hAT	TIR_transposon	68	86	19	18	5,8	249	82	0
ATHATN9#DNA/hAT	DNA/hAT	TIR_transposon	13	80	20	9	5,8	246	81	0
DRL1#DNA/hAT	DNA/hAT	TIR_transposon	19	83	11	15	5,8	250	81	0
SIMPLEHAT2#DNA/hAT	DNA/hAT	TIR_transposon	5	86	20	9	5,8	1208	84	0
TAG1#DNA/hAT	DNA/hAT	TIR_transposon	14	84	7	15	5,8	3299	91	0
TAG2#DNA/hAT	DNA/hAT	TIR_transposon	83	89	6	11	5,8	3094	92	0
TAG3N1#DNA/hAT	DNA/hAT	TIR_transposon	50	94	3	6	5,8	754	93	0
Os0047#DNAnona/hAT	DNAnona/hAT	TIR_transposon	17	87	12	11	5,8	154	86	0
Os0055#DNAnona/hAT	DNAnona/hAT	TIR_transposon	38	88	2	18	5,8	506	98	0
Os0069#DNAnona/hAT	DNAnona/hAT	TIR_transposon	26	89	4	17	5,8	244	95	0
Os0080#DNAnona/hAT	DNAnona/hAT	TIR_transposon	37	90	19	7	5,8	110	97	0
Os0108#DNAnona/hAT	DNAnona/hAT	TIR_transposon	44	92	17	13	5,8	489	83	0
Os0113#DNAnona/hAT	DNAnona/hAT	TIR_transposon	26	83	17	7	5,8	179	95	0
Os0122#DNAnona/hAT	DNAnona/hAT	TIR_transposon	43	83	20	9	5,8	484	86	0
Os0123#DNAnona/hAT	DNAnona/hAT	TIR_transposon	23	85	16	8	5,8	635	98	0
Os0147#DNAauto/hAT	DNAauto/hAT	TIR_transposon	92	93	8	19	5,8	4259	90	0
Os0154#DNAnona/hAT	DNAnona/hAT	TIR_transposon	71	80	15	9	5,8	485	95	0
Os0163#DNAnona/hAT	DNAnona/hAT	TIR_transposon	63	90	13	12	5,8	992	95	0
Os0186#DNAnona/hAT	DNAnona/hAT	TIR_transposon	38	92	11	6	5,8	200	88	0
Os0187#DNAnona/hAT	DNAnona/hAT	TIR_transposon	43	85	15	7	5,8	609	84	0
Os0215#DNAnona/hAT	DNAnona/hAT	TIR_transposon	84	81	16	8	5,8	257	94	0
Os0226#DNAnona/hAT	DNAnona/hAT	TIR_transposon	80	88	19	10	5,8	484	96	0
Os0227#DNAnona/hAT	DNAnona/hAT	TIR_transposon	7	93	17	19	5,8	561	98	0
Os0228#DNAauto/hAT	DNAauto/hAT	TIR_transposon	19	87	4	14	5,8	3568	88	0
Os0249#DNAnona/hAT	DNAnona/hAT	TIR_transposon	64	90	13	8	5,8	2512	93	0
Os0255#DNAnona/hAT	DNAnona/hAT	TIR_transposon	86	89	19	17	5,8	479	81	0
Os0326#DNAnona/hAT	DNAnona/hAT	TIR_transposon	14	90	10	5	5,8	305	98	0
Os0332#DNAnona/hAT	DNAnona/hAT	TIR_transposon	42	81	11	8	5,8	518	98	0
Os0342#DNAnona/hAT	DNAnona/hAT	TIR_transposon	38	92	1	18	5,8	522	98	0
Os0411#DNAauto/hAT	DNAauto/hAT	TIR_transposon	41	86	20	13	5,8	3776	80	0
Os0427#DNAnona/hAT	DNAnona/hAT	TIR_transposon	36	83	12	20	5,8	584	86	0
Os0429#DNAnona/hAT	DNAnona/hAT	TIR_transposon	97	92	5	7	5,8	802	90	0
Os0436#DNAnona/hAT	DNAnona/hAT	TIR_transposon	35	84	16	6	5,8	1447	98	0
Os0437#DNAnona/hAT	DNAnona/hAT	TIR_transposon	54	80	17	18	5,8	723	80	0
Os0444#DNAnona/hAT	DNAnona/hAT	TIR_transposon	48	83	20	12	5,8	243	80	0
Os0467#DNAnona/hAT	DNAnona/hAT	TIR_transposon	57	89	10	5	5,8	168	80	0
Os0483#DNAauto/hAT	DNAauto/hAT	TIR_transposon	59	80	3	10	5,8	3820	84	0
Os0510#DNAnona/hAT	DNAnona/hAT	TIR_transposon	50	92	3	17	5,8	856	86	0
Os0517#DNAnona/hAT	DNAnona/hAT	TIR_transposon	57	86	8	17	5,8	184	97	0
Os0521#DNAnona/hAT	DNAnona/hAT	TIR_transposon	17	93	18	18	5,8	2484	87	0
Os0543#DNAnona/hAT	DNAnona/hAT	TIR_transposon	6	88	5	11	5,8	583	88	0
Os0545#DNAnona/hAT	DNAnona/hAT	TIR_transposon	8	88	19	15	5,8	156	92	0
Os0563#DNAnona/hAT	DNAnona/hAT	TIR_transposon	69	89	17	7	5,8	264	85	0
Os0567#DNAnona/hAT	DNAnona/hAT	TIR_transposon	52	93	15	9	5,8	226	95	0
Os0572#DNAnona/hAT	DNAnona/hAT	TIR_transposon	17	89	4	14	5,8	619	83	0
Os0586#DNAnona/hAT	DNAnona/hAT	TIR_transposon	99	81	1	10	5,8	179	83	0
Os0587#DNAnona/hAT	DNAnona/hAT	TIR_transposon	66	93	14	20	5,8	507	81	0
Os0600#DNAnona/hAT	DNAnona/hAT	TIR_transposon	84	90	12	19	5,8	215	92	0
Os0603#DNAnona/hAT	DNAnona/hAT	TIR_transposon	18	80	2	10	5,8	752	98	0
Os0605#DNAnona/hAT	DNAnona/hAT	TIR_transposon	22	95	9	14	5,8	167	82	0
Os0612#DNAnona/hAT	DNAnona/hAT	TIR_transposon	7	94	17	17	5,8	197	97	0
Os0621#DNAnona/hAT	DNAnona/hAT	TIR_transposon	8	84	1	10	5,8	239	85	0
Os0626#DNAnona/hAT	DNAnona/hAT	TIR_transposon	73	84	13	18	5,8	652	88	0
Os0650#DNAnona/hAT	DNAnona/hAT	TIR_transposon	71	88	18	19	5,8	596	83	0
Os0701#DNAnona/hAT	DNAnona/hAT	TIR_transposon	14	81	11	18	5,8	176	87	0
Os0734#DNAnona/hAT	DNAnona/hAT	TIR_transposon	60	91	1	7	5,8	871	89	0
Os0752#DNAnona/hAT	DNAnona/hAT	TIR_transposon	60	81	3	10	5,8	616	98	0
Os0756#DNAnona/hAT	DNAnona/hAT	TIR_transposon	46	86	18	6	5,8	208	89	0
Os0780#DNAnona/hAT	DNAnona/hAT	TIR_transposon	65	88	17	20	5,8	243	88	0
Os0792#DNAnona/hAT	DNAnona/hAT	TIR_transposon	17	84	1	12	5,8	579	93	0
Os0806#DNAnona/hAT	DNAnona/hAT	TIR_transposon	18	83	9	11	5,8	475	81	0
Os0816#DNAnona/hAT	DNAnona/hAT	TIR_transposon	77	92	5	10	5,8	235	88	0
Os0824#DNAnona/hAT	DNAnona/hAT	TIR_transposon	70	88	18	8	5,8	592	96	0
Os0825#DNAnona/hAT	DNAnona/hAT	TIR_transposon	89	92	16	16	5,8	691	83	0
Os0838#DNAnona/hAT	DNAnona/hAT	TIR_transposon	87	91	2	16	5,8	643	93	0
Os0843#DNAnona/hAT	DNAnona/hAT	TIR_transposon	6	85	18	13	5,8	158	88	0
Os0851#DNAnona/hAT	DNAnona/hAT	TIR_transposon	91	82	10	16	5,8	849	96	0
Os0878#DNAnona/hAT	DNAnona/hAT	TIR_transposon	92	87	4	20	5,8	175	92	0
Os0897#DNAnona/hAT	DNAnona/hAT	TIR_transposon	100	95	12	14	5,8	372	97	0
Os0902#DNAnona/hAT	DNAnona/hAT	TIR_transposon	14	91	13	8	5,8	2476	98	0
Os0907#DNAnona/hAT	DNAnona/hAT	TIR_transposon	49	84	12	16	5,8	583	88	0
Os0927#DNAnona/hAT	DNAnona/hAT	TIR_transposon	48	92	2	20	5,8	386	87	0
Os0928#DNAnona/hAT	DNAnona/hAT	TIR_transposon	32	95	19	14	5,8	415	83	0
Os0942#DNAnona/hAT	DNAnona/hAT	TIR_transposon	50	82	1	10	5,8	2132	87	0
Os0963#DNAnona/hAT	DNAnona/hAT	TIR_transposon	56	89	11	13	5,8	354	90	0
Os0964#DNAnona/hAT	DNAnona/hAT	TIR_transposon	49	81	4	17	5,8	671	87	0
Os0979#DNAnona/hAT	DNAnona/hAT	TIR_transposon	44	87	9	20	5,8	735	95	0
Os0987#DNAnona/hAT	DNAnona/hAT	TIR_transposon	52	93	20	14	5,8	157	88	0
Os0989#DNAnona/hAT	DNAnona/hAT	TIR_transposon	90	82	20	15	5,8	190	85	0
Os1020#DNAnona/hAT	DNAnona/hAT	TIR_transposon	30	85	13	6	5,8	529	81	0
Os1051#DNAauto/hAT	DNAauto/hAT	TIR_transposon	9	91	14	8	5,8	3890	83	0
Os1062#DNAnona/hAT	DNAnona/hAT	TIR_transposon	40	90	9	18	5,8	1769	97	0
Os1063#DNAnona/hAT	DNAnona/hAT	TIR_transposon	30	89	11	19	5,8	1401	85	0
Os1090#DNAnona/hAT	DNAnona/hAT	TIR_transposon	43	84	19	11	5,8	1441	83	0
Os1103#DNAnona/hAT	DNAnona/hAT	TIR_transposon	25	86	5	16	5,8	624	94	0
Os1105#DNAnona/hAT	DNAnona/hAT	TIR_transposon	24	86	6	18	5,8	1482	96	0
Os1109#DNAnona/hAT	DNAnona/hAT	TIR_transposon	9	82	2	11	5,8	560	96	0
Os1151#DNAauto/hAT	DNAauto/hAT	TIR_transposon	25	81	16	9	5,8	3751	97	0
