#TE_family	subclass	superfamily	count	idn	sd	indels	tsd	length	frag	nest
TNAT2A#DNA	DNA	DNA	45	84	9	22	0,0	771	89	0
TSCL#LINE?	LINE	LINE/LINE_Unknown	67	72	9	24	5,20	1225	99	0
VANDAL1#DNA/MuDR	DNA	DNA/DTM	75	87	11	25	8,9	15093	100	0
VANDAL10#DNA/MuDR	DNA	DNA/DTM	11	72	8	19	8,9	12295	100	0
VANDAL11#DNA/MuDR	DNA	DNA/DTM	21	65	6	15	8,9	14166	100	0
VANDAL12#DNA/MuDR	DNA	DNA/DTM	33	71	7	20	8,9	11974	100	0
VANDAL13#DNA/MuDR	DNA	DNA/DTM	130	84	10	21	8,9	12147	100	0
VANDAL14#DNA/MuDR	DNA	DNA/DTM	14	82	12	15	8,9	12268	96	0
VANDAL15#DNA/MuDR	DNA	DNA/DTM	8	79	7	11	8,9	5332	100	0
VANDAL16#DNA/MuDR	DNA	DNA/DTM	52	74	8	18	8,9	10472	99	0
VANDAL17#DNA/MuDR	DNA	DNA/DTM	56	75	13	29	8,9	8911	99	0
VANDAL18#DNA/MuDR	DNA	DNA/DTM	11	72	11	23	8,9	11260	100	0
VANDAL18NA#DNA/MuDR	DNA	DNA/DTM	40	86	7	18	8,9	1261	100	0
VANDAL18NB#DNA/MuDR	DNA	DNA/DTM	10	89	8	18	8,9	1014	80	0
VANDAL1N1#DNA/MuDR	DNA	DNA/DTM	68	81	10	31	8,9	2265	96	0
VANDAL2#DNA/MuDR	DNA	DNA/DTM	82	89	13	22	8,9	15253	98	0
VANDAL20#DNA/MuDR	DNA	DNA/DTM	84	73	8	19	8,9	12720	100	0
VANDAL21#DNA/MuDR	DNA	DNA/DTM	102	74	13	29	8,9	8244	99	0
VANDAL22#DNA/MuDR	DNA	DNA/DTM	99	75	8	18	8,9	10310	100	0
VANDAL2N1#DNA/MuDR	DNA	DNA/DTM	60	85	9	22	8,9	2712	94	0
VANDAL3#DNA/MuDR	DNA	DNA/DTM	217	74	10	27	8,9	16666	100	0
VANDAL4#DNA/MuDR	DNA	DNA/DTM	116	78	12	19	8,9	18492	100	0
VANDAL5#DNA/MuDR	DNA	DNA/DTM	108	80	13	21	8,9	17915	100	0
VANDAL5A#DNA/MuDR	DNA	DNA/DTM	65	81	12	21	8,9	7727	99	0
VANDAL6#DNA/MuDR	DNA	DNA/DTM	112	84	12	41	8,9	8390	100	0
VANDAL7#DNA/MuDR	DNA	DNA/DTM	53	80	13	30	8,9	12362	100	0
VANDAL8#DNA/MuDR	DNA	DNA/DTM	77	81	10	32	8,9	9577	99	0
VANDAL9#DNA/MuDR	DNA	DNA/DTM	57	73	9	14	8,9	12396	100	0
VANDALNX1#DNA/MuDR	DNA	DNA/DTM	21	81	10	17	8,9	1728	100	0
VANDALNX2#DNA/MuDR	DNA	DNA/DTM	24	78	13	23	8,9	1473	96	0
